NO,売上伝票日付,直送指定,委託区分,見積番号,得意先コード,得意先名,発送先コード,発送先名,自社担当者コード,請求得意先コード,得意先名_1,随時請求区分,請求予定日,請求書発行日,請求書発行済み,請求先送月数,回収日締切,発送予定日,広告企画区分,商品コード,数量,単価,金額
1,2017/3/1,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102005,8,344,"2,735"
2,2017/3/1,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102027,6,204,"1,317"
3,2017/3/1,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102029,10,177,"1,720"
4,2017/3/1,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102040,6,186,"1,058"
5,2017/3/1,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102041,4,212,943
6,2017/3/1,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102042,2,211,440
7,2017/3/2,0,0,,ｗH-2601,㈱広島スピリット,,,,ｗH-2601,㈱広島スピリット,0,2017/3/31,2018/5/31,0,0,2017/4/30,2017/4/27,,W102042,3,240,787
8,2017/3/2,0,0,,ｗH-2601,㈱広島スピリット,,,,ｗH-2601,㈱広島スピリット,0,2017/3/31,2018/5/31,0,0,2017/4/30,2017/4/27,,W102027,3,232,809
9,2017/3/2,0,0,,ｗH-2601,㈱広島スピリット,,,,ｗH-2601,㈱広島スピリット,0,2017/3/31,2018/5/31,0,0,2017/4/30,2017/4/27,,W102041,5,242,"1,132"
10,2017/3/2,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102011,1,329,228
11,2017/3/2,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W103603,2,117,227
12,2017/3/2,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102012,4,273,"1,124"
13,2017/3/3,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102028,12,240,"2,900"
14,2017/3/3,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102040,6,212,"1,199"
15,2017/3/3,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102015,3,336,"1,139"
16,2017/3/3,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102028,17,211,"3,660"
17,2017/3/3,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102004,4,86,309
18,2017/3/3,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102011,7,329,"2,186"
19,2017/3/3,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102015,3,336,871
20,2017/3/3,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102005,6,344,"2,121"
21,2017/3/3,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102028,10,211,"2,092"
22,2017/3/3,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102041,7,212,"1,461"
23,2017/3/3,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102042,6,211,"1,244"
24,2017/3/3,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W103603,3,117,389
25,2017/3/4,0,0,,ｗH-2601,㈱広島スピリット,,,,ｗH-2601,㈱広島スピリット,0,2017/3/31,2018/5/31,0,0,2017/4/30,2017/4/27,,W102040,9,212,"1,909"
26,2017/3/4,0,0,,ｗH-2601,㈱広島スピリット,,,,ｗH-2601,㈱広島スピリット,0,2017/3/31,2018/5/31,0,0,2017/4/30,2017/4/27,,W102004,22,98,"2,146"
27,2017/3/4,0,0,,ｗH-2601,㈱広島スピリット,,,,ｗH-2601,㈱広島スピリット,0,2017/3/31,2018/5/31,0,0,2017/4/30,2017/4/27,,W103603,20,134,"2,676"
28,2017/3/4,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102005,9,393,"3,363"
29,2017/3/4,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102042,8,240,"1,965"
30,2017/3/4,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102028,3,240,841
31,2017/3/4,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102029,7,177,"1,240"
32,2017/3/4,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102007,2,468,825
33,2017/3/5,0,0,,ｗH-2601,㈱広島スピリット,,,,ｗH-2601,㈱広島スピリット,0,2017/3/31,2018/5/31,0,0,2017/4/30,2017/4/27,,W102042,4,240,911
34,2017/3/5,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102040,5,212,"1,001"
35,2017/3/5,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102029,3,202,651
36,2017/3/5,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102029,4,202,763
37,2017/3/5,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102005,10,393,"3,840"
38,2017/3/5,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102042,9,240,"2,144"
39,2017/3/5,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102005,11,393,"4,495"
40,2017/3/5,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102027,6,204,"1,185"
41,2017/3/5,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102040,9,186,"1,761"
42,2017/3/5,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102004,3,86,271
43,2017/3/6,0,0,,ｗH-2901,(株)DX広島センター,,,,ｗH-2901,(株)DX広島センター,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102029,8,203,"1,650"
44,2017/3/6,0,0,,ｗH-2901,(株)DX広島センター,,,,ｗH-2901,(株)DX広島センター,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102040,4,213,886
45,2017/3/6,0,0,,ｗH-2601,㈱広島スピリット,,,,ｗH-2601,㈱広島スピリット,0,2017/3/31,2018/5/31,0,0,2017/4/30,2017/4/27,,W102027,3,232,734
46,2017/3/6,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102028,1,240,288
47,2017/3/6,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102029,9,202,"1,828"
48,2017/3/6,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102005,11,393,"4,169"
49,2017/3/6,0,0,,ｗH-3001,酒原酒造(株),,,,ｗH-3001,酒原酒造(株),0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102042,5,240,"1,146"
50,2017/3/6,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102005,5,344,"1,828"
51,2017/3/6,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102040,4,186,784
52,2017/3/6,0,0,,ｗH-2501,㈱HBC,,,,ｗH-2501,㈱HBC,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102042,10,211,"2,212"
53,2017/3/7,0,0,,ｗH-2901,(株)DX広島センター,,,,ｗH-2901,(株)DX広島センター,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102028,11,241,"2,746"
54,2017/3/7,0,0,,ｗH-2901,(株)DX広島センター,,,,ｗH-2901,(株)DX広島センター,0,2017/3/31,2017/3/31,0,0,2017/4/30,2017/4/27,,W102041,5,242,"1,139"
